Region,Country,Year,Age,"Both Sexes Population","Male Population","Female Population","Percent Both Sexes","Percent Male","Percent Female","Sex Ratio"
"Custom Region",Uzbekistan,2017,0-4,2409759,1235205,1174554,8.1,8.3,7.9,105.2
"Custom Region",Uzbekistan,2017,5-9,2332053,1194258,1137795,7.8,8.1,7.6,105.0
"Custom Region",Uzbekistan,2017,10-14,2363406,1211451,1151955,7.9,8.2,7.7,105.2
"Custom Region",Uzbekistan,2017,15-19,2530106,1295137,1234969,8.5,8.8,8.3,104.9
"Custom Region",Uzbekistan,2017,20-24,2980809,1509379,1471430,10.0,10.2,9.8,102.6
"Custom Region",Uzbekistan,2017,25-29,3096168,1559784,1536384,10.4,10.5,10.3,101.5
"Custom Region",Uzbekistan,2017,30-34,2806174,1411193,1394981,9.4,9.5,9.3,101.2
"Custom Region",Uzbekistan,2017,35-39,2230011,1116784,1113227,7.5,7.5,7.4,100.3
"Custom Region",Uzbekistan,2017,40-44,1924830,957485,967345,6.5,6.5,6.5,99.0
"Custom Region",Uzbekistan,2017,45-49,1651275,805232,846043,5.6,5.4,5.7,95.2
"Custom Region",Uzbekistan,2017,50-54,1526548,733267,793281,5.1,5.0,5.3,92.4
"Custom Region",Uzbekistan,2017,55-59,1394989,665869,729120,4.7,4.5,4.9,91.3
"Custom Region",Uzbekistan,2017,60-64,941759,439165,502594,3.2,3.0,3.4,87.4
"Custom Region",Uzbekistan,2017,65-69,606196,272710,333486,2.0,1.8,2.2,81.8
"Custom Region",Uzbekistan,2017,70-74,265557,119840,145717,0.9,0.8,1.0,82.2
"Custom Region",Uzbekistan,2017,75-79,325897,138299,187598,1.1,0.9,1.3,73.7
"Custom Region",Uzbekistan,2017,80-84,200200,80749,119451,0.7,0.5,0.8,67.6
"Custom Region",Uzbekistan,2017,85-89,115128,41637,73491,0.4,0.3,0.5,56.7
"Custom Region",Uzbekistan,2017,90-94,39895,12165,27730,0.1,0.1,0.2,43.9
"Custom Region",Uzbekistan,2017,95-99,7132,1530,5602,0.0,0.0,0.0,27.3
"Custom Region",Uzbekistan,2017,100+,967,179,788,0.0,0.0,0.0,22.7
"Custom Region",Vanuatu,2013,Total,261565,131095,130470,100.0,100.0,100.0,100.5
"Custom Region",Vanuatu,2013,0-4,34010,17394,16616,13.0,13.3,12.7,104.7
"Custom Region",Vanuatu,2013,5-9,33654,17181,16473,12.9,13.1,12.6,104.3
"Custom Region",Vanuatu,2013,10-14,31361,15973,15388,12.0,12.2,11.8,103.8
"Custom Region",Vanuatu,2013,15-19,27799,13951,13848,10.6,10.6,10.6,100.7
"Custom Region",Vanuatu,2013,20-24,23786,11734,12052,9.1,9.0,9.2,97.4
"Custom Region",Vanuatu,2013,25-29,20023,9937,10086,7.7,7.6,7.7,98.5
"Custom Region",Vanuatu,2013,30-34,17963,8781,9182,6.9,6.7,7.0,95.6
"Custom Region",Vanuatu,2013,35-39,15673,7575,8098,6.0,5.8,6.2,93.5
"Custom Region",Vanuatu,2013,40-44,13696,6641,7055,5.2,5.1,5.4,94.1
"Custom Region",Vanuatu,2013,45-49,11854,5841,6013,4.5,4.5,4.6,97.1
"Custom Region",Vanuatu,2013,50-54,9616,4777,4839,3.7,3.6,3.7,98.7
"Custom Region",Vanuatu,2013,55-59,7250,3668,3582,2.8,2.8,2.7,102.4
"Custom Region",Vanuatu,2013,60-64,5532,2825,2707,2.1,2.2,2.1,104.4
"Custom Region",Vanuatu,2013,65-69,3994,2058,1936,1.5,1.6,1.5,106.3
"Custom Region",Vanuatu,2013,70-74,2682,1386,1296,1.0,1.1,1.0,106.9
"Custom Region",Vanuatu,2013,75-79,1558,807,751,0.6,0.6,0.6,107.5
"Custom Region",Vanuatu,2013,80-84,762,391,371,0.3,0.3,0.3,105.4
"Custom Region",Vanuatu,2013,85-89,274,138,136,0.1,0.1,0.1,101.5
"Custom Region",Vanuatu,2013,90-94,68,33,35,0.0,0.0,0.0,94.3
"Custom Region",Vanuatu,2013,95-99,9,4,5,0.0,0.0,0.0,80.0
"Custom Region",Vanuatu,2013,100+,1,0,1,0.0,0.0,0.0,0.0
"Custom Region",Vanuatu,2014,Total,266937,133654,133283,100.0,100.0,100.0,100.3
"Custom Region",Vanuatu,2014,0-4,33951,17366,16585,12.7,13.0,12.4,104.7
"Custom Region",Vanuatu,2014,5-9,33805,17262,16543,12.7,12.9,12.4,104.3
"Custom Region",Vanuatu,2014,10-14,31807,16182,15625,11.9,12.1,11.7,103.6
"Custom Region",Vanuatu,2014,15-19,28348,14234,14114,10.6,10.6,10.6,100.9
"Custom Region",Vanuatu,2014,20-24,24613,12107,12506,9.2,9.1,9.4,96.8
"Custom Region",Vanuatu,2014,25-29,20524,10183,10341,7.7,7.6,7.8,98.5
"Custom Region",Vanuatu,2014,30-34,18384,9012,9372,6.9,6.7,7.0,96.2
"Custom Region",Vanuatu,2014,35-39,16079,7778,8301,6.0,5.8,6.2,93.7
"Custom Region",Vanuatu,2014,40-44,14041,6791,7250,5.3,5.1,5.4,93.7
"Custom Region",Vanuatu,2014,45-49,12201,5992,6209,4.6,4.5,4.7,96.5
"Custom Region",Vanuatu,2014,50-54,10048,4976,5072,3.8,3.7,3.8,98.1
"Custom Region",Vanuatu,2014,55-59,7584,3820,3764,2.8,2.9,2.8,101.5
"Custom Region",Vanuatu,2014,60-64,5766,2931,2835,2.2,2.2,2.1,103.4
"Custom Region",Vanuatu,2014,65-69,4170,2140,2030,1.6,1.6,1.5,105.4
"Custom Region",Vanuatu,2014,70-74,2811,1446,1365,1.1,1.1,1.0,105.9
"Custom Region",Vanuatu,2014,75-79,1637,845,792,0.6,0.6,0.6,106.7
"Custom Region",Vanuatu,2014,80-84,801,407,394,0.3,0.3,0.3,103.3
"Custom Region",Vanuatu,2014,85-89,284,142,142,0.1,0.1,0.1,100.0
"Custom Region",Vanuatu,2014,90-94,71,34,37,0.0,0.0,0.0,91.9
"Custom Region",Vanuatu,2014,95-99,12,6,6,0.0,0.0,0.0,100.0
"Custom Region",Vanuatu,2014,100+,0,0,0,0.0,0.0,0.0,
"Custom Region",Vanuatu,2015,Total,272264,136189,136075,100.0,100.0,100.0,100.1
"Custom Region",Vanuatu,2015,0-4,33859,17320,16539,12.4,12.7,12.2,104.7
"Custom Region",Vanuatu,2015,5-9,33892,17314,16578,12.4,12.7,12.2,104.4
"Custom Region",Vanuatu,2015,10-14,32203,16380,15823,11.8,12.0,11.6,103.5
"Custom Region",Vanuatu,2015,15-19,28908,14503,14405,10.6,10.6,10.6,100.7
"Custom Region",Vanuatu,2015,20-24,25376,12467,12909,9.3,9.2,9.5,96.6
"Custom Region",Vanuatu,2015,25-29,21128,10461,10667,7.8,7.7,7.8,98.1
"Custom Region",Vanuatu,2015,30-34,18777,9233,9544,6.9,6.8,7.0,96.7
"Custom Region",Vanuatu,2015,35-39,16504,7992,8512,6.1,5.9,6.3,93.9
"Custom Region",Vanuatu,2015,40-44,14401,6955,7446,5.3,5.1,5.5,93.4
"Custom Region",Vanuatu,2015,45-49,12532,6131,6401,4.6,4.5,4.7,95.8
"Custom Region",Vanuatu,2015,50-54,10457,5163,5294,3.8,3.8,3.9,97.5
"Custom Region",Vanuatu,2015,55-59,7966,3993,3973,2.9,2.9,2.9,100.5
"Custom Region",Vanuatu,2015,60-64,6000,3041,2959,2.2,2.2,2.2,102.8
"Custom Region",Vanuatu,2015,65-69,4362,2225,2137,1.6,1.6,1.6,104.1
"Custom Region",Vanuatu,2015,70-74,2944,1510,1434,1.1,1.1,1.1,105.3
"Custom Region",Vanuatu,2015,75-79,1725,884,841,0.6,0.6,0.6,105.1
"Custom Region",Vanuatu,2015,80-84,844,427,417,0.3,0.3,0.3,102.4
"Custom Region",Vanuatu,2015,85-89,300,150,150,0.1,0.1,0.1,100.0
"Custom Region",Vanuatu,2015,90-94,74,34,40,0.0,0.0,0.0,85.0
"Custom Region",Vanuatu,2015,95-99,11,6,5,0.0,0.0,0.0,120.0
"Custom Region",Vanuatu,2015,100+,1,0,1,0.0,0.0,0.0,0.0
"Custom Region",Vanuatu,2016,Total,277554,138705,138849,100.0,100.0,100.0,99.9
"Custom Region",Vanuatu,2016,0-4,33750,17264,16486,12.2,12.4,11.9,104.7
"Custom Region",Vanuatu,2016,5-9,33930,17339,16591,12.2,12.5,11.9,104.5
"Custom Region",Vanuatu,2016,10-14,32553,16557,15996,11.7,11.9,11.5,103.5
"Custom Region",Vanuatu,2016,15-19,29456,14762,14694,10.6,10.6,10.6,100.5
"Custom Region",Vanuatu,2016,20-24,26042,12797,13245,9.4,9.2,9.5,96.6
"Custom Region",Vanuatu,2016,25-29,21864,10786,11078,7.9,7.8,8.0,97.4
"Custom Region",Vanuatu,2016,30-34,19143,9441,9702,6.9,6.8,7.0,97.3
"Custom Region",Vanuatu,2016,35-39,16952,8228,8724,6.1,5.9,6.3,94.3
"Custom Region",Vanuatu,2016,40-44,14771,7126,7645,5.3,5.1,5.5,93.2
"Custom Region",Vanuatu,2016,45-49,12858,6263,6595,4.6,4.5,4.7,95.0
"Custom Region",Vanuatu,2016,50-54,10845,5345,5500,3.9,3.9,4.0,97.2
"Custom Region",Vanuatu,2016,55-59,8380,4177,4203,3.0,3.0,3.0,99.4
"Custom Region",Vanuatu,2016,60-64,6244,3150,3094,2.2,2.3,2.2,101.8
"Custom Region",Vanuatu,2016,65-69,4559,2320,2239,1.6,1.7,1.6,103.6
"Custom Region",Vanuatu,2016,70-74,3086,1575,1511,1.1,1.1,1.1,104.2
"Custom Region",Vanuatu,2016,75-79,1824,928,896,0.7,0.7,0.6,103.6
"Custom Region",Vanuatu,2016,80-84,886,446,440,0.3,0.3,0.3,101.4
"Custom Region",Vanuatu,2016,85-89,320,159,161,0.1,0.1,0.1,98.8
"Custom Region",Vanuatu,2016,90-94,78,37,41,0.0,0.0,0.0,90.2
"Custom Region",Vanuatu,2016,95-99,12,5,7,0.0,0.0,0.0,71.4
"Custom Region",Vanuatu,2016,100+,1,0,1,0.0,0.0,0.0,0.0
"Custom Region",Vanuatu,2017,Total,282814,141206,141608,100.0,100.0,100.0,99.7
"Custom Region",Vanuatu,2017,0-4,33640,17210,16430,11.9,12.2,11.6,104.7
"Custom Region",Vanuatu,2017,5-9,33942,17347,16595,12.0,12.3,11.7,104.5
"Custom Region",Vanuatu,2017,10-14,32836,16704,16132,11.6,11.8,11.4,103.5
"Custom Region",Vanuatu,2017,15-19,29988,15010,14978,10.6,10.6,10.6,100.2
"Custom Region",Vanuatu,2017,20-24,26636,13100,13536,9.4,9.3,9.6,96.8
"Custom Region",Vanuatu,2017,25-29,22683,11138,11545,8.0,7.9,8.2,96.5
"Custom Region",Vanuatu,2017,30-34,19515,9658,9857,6.9,6.8,7.0,98.0
"Custom Region",Vanuatu,2017,35-39,17407,8469,8938,6.2,6.0,6.3,94.8
"Custom Region",Vanuatu,2017,40-44,15149,7304,7845,5.4,5.2,5.5,93.1
"Custom Region",Vanuatu,2017,45-49,13173,6388,6785,4.7,4.5,4.8,94.1
"Custom Region",Vanuatu,2017,50-54,11224,5519,5705,4.0,3.9,4.0,96.7
"Custom Region",Vanuatu,2017,55-59,8818,4375,4443,3.1,3.1,3.1,98.5
"Custom Region",Vanuatu,2017,60-64,6505,3271,3234,2.3,2.3,2.3,101.1
"Custom Region",Vanuatu,2017,65-69,4770,2418,2352,1.7,1.7,1.7,102.8
"Custom Region",Vanuatu,2017,70-74,3223,1637,1586,1.1,1.2,1.1,103.2
"Custom Region",Vanuatu,2017,75-79,1930,976,954,0.7,0.7,0.7,102.3
"Custom Region",Vanuatu,2017,80-84,937,471,466,0.3,0.3,0.3,101.1
"Custom Region",Vanuatu,2017,85-89,345,168,177,0.1,0.1,0.1,94.9
"Custom Region",Vanuatu,2017,90-94,79,37,42,0.0,0.0,0.0,88.1
"Custom Region",Vanuatu,2017,95-99,14,6,8,0.0,0.0,0.0,75.0
"Custom Region",Vanuatu,2017,100+,0,0,0,0.0,0.0,0.0,
"Custom Region",Venezuela,2013,Total,29706761,14781812,14924949,100.0,100.0,100.0,99.0
"Custom Region",Venezuela,2013,0-4,2934316,1503228,1431088,9.9,10.2,9.6,105.0
"Custom Region",Venezuela,2013,5-9,2846393,1459655,1386738,9.6,9.9,9.3,105.3
"Custom Region",Venezuela,2013,10-14,2719919,1393304,1326615,9.2,9.4,8.9,105.0
"Custom Region",Venezuela,2013,15-19,2692672,1370391,1322281,9.1,9.3,8.9,103.6
"Custom Region",Venezuela,2013,20-24,2658649,1338211,1320438,8.9,9.1,8.8,101.3
"Custom Region",Venezuela,2013,25-29,2540932,1262268,1278664,8.6,8.5,8.6,98.7
"Custom Region",Venezuela,2013,30-34,2315382,1144858,1170524,7.8,7.7,7.8,97.8
"Custom Region",Venezuela,2013,35-39,2049969,1016586,1033383,6.9,6.9,6.9,98.4
"Custom Region",Venezuela,2013,40-44,1846719,912666,934053,6.2,6.2,6.3,97.7
"Custom Region",Venezuela,2013,45-49,1652516,809546,842970,5.6,5.5,5.6,96.0
"Custom Region",Venezuela,2013,50-54,1454676,705931,748745,4.9,4.8,5.0,94.3
"Custom Region",Venezuela,2013,55-59,1219637,587519,632118,4.1,4.0,4.2,92.9
"Custom Region",Venezuela,2013,60-64,961547,459275,502272,3.2,3.1,3.4,91.4
"Custom Region",Venezuela,2013,65-69,659163,311567,347596,2.2,2.1,2.3,89.6
"Custom Region",Venezuela,2013,70-74,454168,208098,246070,1.5,1.4,1.6,84.6
"Custom Region",Venezuela,2013,75-79,333000,146713,186287,1.1,1.0,1.2,78.8
"Custom Region",Venezuela,2013,80-84,218031,92896,125135,0.7,0.6,0.8,74.2
"Custom Region",Venezuela,2013,85-89,110337,44900,65437,0.4,0.3,0.4,68.6
"Custom Region",Venezuela,2013,90-94,32103,11990,20113,0.1,0.1,0.1,59.6
"Custom Region",Venezuela,2013,95-99,6105,2054,4051,0.0,0.0,0.0,50.7
"Custom Region",Venezuela,2013,100+,527,156,371,0.0,0.0,0.0,42.0
"Custom Region",Venezuela,2014,Total,30111977,14987364,15124613,100.0,100.0,100.0,99.1
"Custom Region",Venezuela,2014,0-4,2934568,1503311,1431257,9.7,10.0,9.5,105.0
"Custom Region",Venezuela,2014,5-9,2854793,1464099,1390694,9.5,9.8,9.2,105.3
"Custom Region",Venezuela,2014,10-14,2730114,1398983,1331131,9.1,9.3,8.8,105.1
"Custom Region",Venezuela,2014,15-19,2685002,1367426,1317576,8.9,9.1,8.7,103.8
"Custom Region",Venezuela,2014,20-24,2665794,1343390,1322404,8.9,9.0,8.7,101.6
"Custom Region",Venezuela,2014,25-29,2563088,1275839,1287249,8.5,8.5,8.5,99.1
"Custom Region",Venezuela,2014,30-34,2372400,1173008,1199392,7.9,7.8,7.9,97.8
"Custom Region",Venezuela,2014,35-39,2087173,1035935,1051238,6.9,6.9,7.0,98.5
"Custom Region",Venezuela,2014,40-44,1882140,931656,950484,6.3,6.2,6.3,98.0
"Custom Region",Venezuela,2014,45-49,1677242,823329,853913,5.6,5.5,5.6,96.4
"Custom Region",Venezuela,2014,50-54,1491271,724007,767264,5.0,4.8,5.1,94.4
"Custom Region",Venezuela,2014,55-59,1254343,604456,649887,4.2,4.0,4.3,93.0
"Custom Region",Venezuela,2014,60-64,1009834,482002,527832,3.4,3.2,3.5,91.3
"Custom Region",Venezuela,2014,65-69,705507,333450,372057,2.3,2.2,2.5,89.6
"Custom Region",Venezuela,2014,70-74,469876,215827,254049,1.6,1.4,1.7,85.0
"Custom Region",Venezuela,2014,75-79,346938,152953,193985,1.2,1.0,1.3,78.8
"Custom Region",Venezuela,2014,80-84,222239,94440,127799,0.7,0.6,0.8,73.9
"Custom Region",Venezuela,2014,85-89,118104,48017,70087,0.4,0.3,0.5,68.5
"Custom Region",Venezuela,2014,90-94,34394,12851,21543,0.1,0.1,0.1,59.7
"Custom Region",Venezuela,2014,95-99,6579,2214,4365,0.0,0.0,0.0,50.7
"Custom Region",Venezuela,2014,100+,578,171,407,0.0,0.0,0.0,42.0
"Custom Region",Venezuela,2015,Total,30514414,15191149,15323265,100.0,100.0,100.0,99.1
"Custom Region",Venezuela,2015,0-4,2932948,1502375,1430573,9.6,9.9,9.3,105.0
"Custom Region",Venezuela,2015,5-9,2860860,1467307,1393553,9.4,9.7,9.1,105.3
"Custom Region",Venezuela,2015,10-14,2745078,1407005,1338073,9.0,9.3,8.7,105.2
"Custom Region",Venezuela,2015,15-19,2678291,1364941,1313350,8.8,9.0,8.6,103.9
"Custom Region",Venezuela,2015,20-24,2666368,1345302,1321066,8.7,8.9,8.6,101.8
"Custom Region",Venezuela,2015,25-29,2583546,1288457,1295089,8.5,8.5,8.5,99.5
"Custom Region",Venezuela,2015,30-34,2424108,1199126,1224982,7.9,7.9,8.0,97.9
"Custom Region",Venezuela,2015,35-39,2129891,1057460,1072431,7.0,7.0,7.0,98.6
"Custom Region",Venezuela,2015,40-44,1917313,950411,966902,6.3,6.3,6.3,98.3
"Custom Region",Venezuela,2015,45-49,1704356,838300,866056,5.6,5.5,5.7,96.8
"Custom Region",Venezuela,2015,50-54,1524459,740775,783684,5.0,4.9,5.1,94.5
"Custom Region",Venezuela,2015,55-59,1290155,621853,668302,4.2,4.1,4.4,93.0
"Custom Region",Venezuela,2015,60-64,1054631,503152,551479,3.5,3.3,3.6,91.2
"Custom Region",Venezuela,2015,65-69,753041,355769,397272,2.5,2.3,2.6,89.6
"Custom Region",Venezuela,2015,70-74,491951,226437,265514,1.6,1.5,1.7,85.3
"Custom Region",Venezuela,2015,75-79,359434,158636,200798,1.2,1.0,1.3,79.0
"Custom Region",Venezuela,2015,80-84,228297,96800,131497,0.7,0.6,0.9,73.6
"Custom Region",Venezuela,2015,85-89,124544,50500,74044,0.4,0.3,0.5,68.2
"Custom Region",Venezuela,2015,90-94,37437,13984,23453,0.1,0.1,0.2,59.6
"Custom Region",Venezuela,2015,95-99,7065,2370,4695,0.0,0.0,0.0,50.5
"Custom Region",Venezuela,2015,100+,641,189,452,0.0,0.0,0.0,41.8
"Custom Region",Venezuela,2016,Total,30912302,15392405,15519897,100.0,100.0,100.0,99.2
"Custom Region",Venezuela,2016,0-4,2928215,1499814,1428401,9.5,9.7,9.2,105.0
"Custom Region",Venezuela,2016,5-9,2865586,1469792,1395794,9.3,9.5,9.0,105.3
"Custom Region",Venezuela,2016,10-14,2761774,1415809,1345965,8.9,9.2,8.7,105.2
"Custom Region",Venezuela,2016,15-19,2674200,1363742,1310458,8.7,8.9,8.4,104.1
"Custom Region",Venezuela,2016,20-24,2664256,1345617,1318639,8.6,8.7,8.5,102.0
"Custom Region",Venezuela,2016,25-29,2600825,1299554,1301271,8.4,8.4,8.4,99.9
"Custom Region",Venezuela,2016,30-34,2467669,1221900,1245769,8.0,7.9,8.0,98.1
"Custom Region",Venezuela,2016,35-39,2179563,1081895,1097668,7.1,7.0,7.1,98.6
"Custom Region",Venezuela,2016,40-44,1951087,968464,982623,6.3,6.3,6.3,98.6
"Custom Region",Venezuela,2016,45-49,1734632,854801,879831,5.6,5.6,5.7,97.2
"Custom Region",Venezuela,2016,50-54,1553704,755990,797714,5.0,4.9,5.1,94.8
"Custom Region",Venezuela,2016,55-59,1327662,639973,687689,4.3,4.2,4.4,93.1
"Custom Region",Venezuela,2016,60-64,1095189,522427,572762,3.5,3.4,3.7,91.2
"Custom Region",Venezuela,2016,65-69,801373,378330,423043,2.6,2.5,2.7,89.4
"Custom Region",Venezuela,2016,70-74,520963,240159,280804,1.7,1.6,1.8,85.5
"Custom Region",Venezuela,2016,75-79,369990,163551,206439,1.2,1.1,1.3,79.2
"Custom Region",Venezuela,2016,80-84,236636,100177,136459,0.8,0.7,0.9,73.4
"Custom Region",Venezuela,2016,85-89,129483,52295,77188,0.4,0.3,0.5,67.8
"Custom Region",Venezuela,2016,90-94,41215,15384,25831,0.1,0.1,0.2,59.6
"Custom Region",Venezuela,2016,95-99,7569,2523,5046,0.0,0.0,0.0,50.0
"Custom Region",Venezuela,2016,100+,711,208,503,0.0,0.0,0.0,41.4
"Custom Region",Venezuela,2017,Total,31304016,15590439,15713577,100.0,100.0,100.0,99.2
"Custom Region",Venezuela,2017,0-4,2919178,1495056,1424122,9.3,9.6,9.1,105.0
"Custom Region",Venezuela,2017,5-9,2870275,1472218,1398057,9.2,9.4,8.9,105.3
"Custom Region",Venezuela,2017,10-14,2776400,1423499,1352901,8.9,9.1,8.6,105.2
"Custom Region",Venezuela,2017,15-19,2674875,1364848,1310027,8.5,8.8,8.3,104.2
"Custom Region",Venezuela,2017,20-24,2657090,1343086,1314004,8.5,8.6,8.4,102.2
"Custom Region",Venezuela,2017,25-29,2618835,1311074,1307761,8.4,8.4,8.3,100.3
"Custom Region",Venezuela,2017,30-34,2502021,1240728,1261293,8.0,8.0,8.0,98.4
"Custom Region",Venezuela,2017,35-39,2235834,1109278,1126556,7.1,7.1,7.2,98.5
"Custom Region",Venezuela,2017,40-44,1983768,985991,997777,6.3,6.3,6.3,98.8
"Custom Region",Venezuela,2017,45-49,1767687,872654,895033,5.6,5.6,5.7,97.5
"Custom Region",Venezuela,2017,50-54,1579745,769948,809797,5.0,4.9,5.2,95.1
"Custom Region",Venezuela,2017,55-59,1366168,658521,707647,4.4,4.2,4.5,93.1
"Custom Region",Venezuela,2017,60-64,1131855,540004,591851,3.6,3.5,3.8,91.2
"Custom Region",Venezuela,2017,65-69,850307,401046,449261,2.7,2.6,2.9,89.3
"Custom Region",Venezuela,2017,70-74,555938,256540,299398,1.8,1.6,1.9,85.7
"Custom Region",Venezuela,2017,75-79,379512,168103,211409,1.2,1.1,1.3,79.5
"Custom Region",Venezuela,2017,80-84,246779,104372,142407,0.8,0.7,0.9,73.3
"Custom Region",Venezuela,2017,85-89,133367,53615,79752,0.4,0.3,0.5,67.2
"Custom Region",Venezuela,2017,90-94,45469,16941,28528,0.1,0.1,0.2,59.4
"Custom Region",Venezuela,2017,95-99,8118,2686,5432,0.0,0.0,0.0,49.4
"Custom Region",Venezuela,2017,100+,795,231,564,0.0,0.0,0.0,41.0
"Custom Region",Vietnam,2013,Total,92477857,46205449,46272408,100.0,100.0,100.0,99.9
"Custom Region",Vietnam,2013,0-4,7576388,3995044,3581344,8.2,8.6,7.7,111.6
"Custom Region",Vietnam,2013,5-9,7717932,4052531,3665401,8.3,8.8,7.9,110.6
"Custom Region",Vietnam,2013,10-14,7444964,3884048,3560916,8.1,8.4,7.7,109.1
"Custom Region",Vietnam,2013,15-19,8008439,4152196,3856243,8.7,9.0,8.3,107.7
"Custom Region",Vietnam,2013,20-24,9003492,4644199,4359293,9.7,10.1,9.4,106.5
"Custom Region",Vietnam,2013,25-29,8921995,4563484,4358511,9.6,9.9,9.4,104.7
"Custom Region",Vietnam,2013,30-34,7869070,3996231,3872839,8.5,8.6,8.4,103.2
"Custom Region",Vietnam,2013,35-39,6975859,3545997,3429862,7.5,7.7,7.4,103.4
"Custom Region",Vietnam,2013,40-44,6391880,3155096,3236784,6.9,6.8,7.0,97.5
"Custom Region",Vietnam,2013,45-49,5782198,2843630,2938568,6.3,6.2,6.4,96.8
"Custom Region",Vietnam,2013,50-54,5164710,2449814,2714896,5.6,5.3,5.9,90.2
"Custom Region",Vietnam,2013,55-59,3868499,1796313,2072186,4.2,3.9,4.5,86.7
"Custom Region",Vietnam,2013,60-64,2585379,1140027,1445352,2.8,2.5,3.1,78.9
"Custom Region",Vietnam,2013,65-69,1573987,680575,893412,1.7,1.5,1.9,76.2
"Custom Region",Vietnam,2013,70-74,1338818,537574,801244,1.4,1.2,1.7,67.1
"Custom Region",Vietnam,2013,75-79,1057514,392741,664773,1.1,0.8,1.4,59.1
"Custom Region",Vietnam,2013,80-84,724611,251450,473161,0.8,0.5,1.0,53.1
"Custom Region",Vietnam,2013,85-89,336611,96452,240159,0.4,0.2,0.5,40.2
"Custom Region",Vietnam,2013,90-94,112804,24640,88164,0.1,0.1,0.2,27.9
"Custom Region",Vietnam,2013,95-99,20261,3146,17115,0.0,0.0,0.0,18.4
"Custom Region",Vietnam,2013,100+,2446,261,2185,0.0,0.0,0.0,11.9
"Custom Region",Vietnam,2014,Total,93421835,46712869,46708966,100.0,100.0,100.0,100.0
"Custom Region",Vietnam,2014,0-4,7529550,3971986,3557564,8.1,8.5,7.6,111.6
"Custom Region",Vietnam,2014,5-9,7716822,4056360,3660462,8.3,8.7,7.8,110.8
"Custom Region",Vietnam,2014,10-14,7500886,3918310,3582576,8.0,8.4,7.7,109.4
"Custom Region",Vietnam,2014,15-19,7750589,4022278,3728311,8.3,8.6,8.0,107.9
"Custom Region",Vietnam,2014,20-24,8871148,4576082,4295066,9.5,9.8,9.2,106.5
"Custom Region",Vietnam,2014,25-29,8886704,4556047,4330657,9.5,9.8,9.3,105.2
"Custom Region",Vietnam,2014,30-34,8219769,4176820,4042949,8.8,8.9,8.7,103.3
"Custom Region",Vietnam,2014,35-39,7100436,3607696,3492740,7.6,7.7,7.5,103.3
"Custom Region",Vietnam,2014,40-44,6476489,3220994,3255495,6.9,6.9,7.0,98.9
"Custom Region",Vietnam,2014,45-49,5828030,2869023,2959007,6.2,6.1,6.3,97.0
"Custom Region",Vietnam,2014,50-54,5333453,2553058,2780395,5.7,5.5,6.0,91.8
"Custom Region",Vietnam,2014,55-59,4155575,1921854,2233721,4.4,4.1,4.8,86.0
"Custom Region",Vietnam,2014,60-64,2757228,1227640,1529588,3.0,2.6,3.3,80.3
"Custom Region",Vietnam,2014,65-69,1705039,734726,970313,1.8,1.6,2.1,75.7
"Custom Region",Vietnam,2014,70-74,1315899,526104,789795,1.4,1.1,1.7,66.6
"Custom Region",Vietnam,2014,75-79,1048184,390669,657515,1.1,0.8,1.4,59.4
"Custom Region",Vietnam,2014,80-84,733076,252751,480325,0.8,0.5,1.0,52.6
"Custom Region",Vietnam,2014,85-89,350899,101349,249550,0.4,0.2,0.5,40.6
"Custom Region",Vietnam,2014,90-94,117589,25434,92155,0.1,0.1,0.2,27.6
"Custom Region",Vietnam,2014,95-99,21793,3406,18387,0.0,0.0,0.0,18.5
"Custom Region",Vietnam,2014,100+,2677,282,2395,0.0,0.0,0.0,11.8
"Custom Region",Vietnam,2015,Total,94348835,47209648,47139187,100.0,100.0,100.0,100.1
"Custom Region",Vietnam,2015,0-4,7489812,3950432,3539380,7.9,8.4,7.5,111.6
"Custom Region",Vietnam,2015,5-9,7669081,4035231,3633850,8.1,8.5,7.7,111.0
"Custom Region",Vietnam,2015,10-14,7575618,3962467,3613151,8.0,8.4,7.7,109.7
"Custom Region",Vietnam,2015,15-19,7559911,3927403,3632508,8.0,8.3,7.7,108.1
"Custom Region",Vietnam,2015,20-24,8684524,4483705,4200819,9.2,9.5,8.9,106.7
"Custom Region",Vietnam,2015,25-29,8876741,4556768,4319973,9.4,9.7,9.2,105.5
"Custom Region",Vietnam,2015,30-34,8500283,4323692,4176591,9.0,9.2,8.9,103.5
"Custom Region",Vietnam,2015,35-39,7260013,3683569,3576444,7.7,7.8,7.6,103.0
"Custom Region",Vietnam,2015,40-44,6560604,3288456,3272148,7.0,7.0,6.9,100.5
"Custom Region",Vietnam,2015,45-49,5845141,2878991,2966150,6.2,6.1,6.3,97.1
"Custom Region",Vietnam,2015,50-54,5461281,2627171,2834110,5.8,5.6,6.0,92.7
"Custom Region",Vietnam,2015,55-59,4393288,2033663,2359625,4.7,4.3,5.0,86.2
"Custom Region",Vietnam,2015,60-64,2978453,1343043,1635410,3.2,2.8,3.5,82.1
"Custom Region",Vietnam,2015,65-69,1875047,805737,1069310,2.0,1.7,2.3,75.4
"Custom Region",Vietnam,2015,70-74,1294670,518291,776379,1.4,1.1,1.6,66.8
"Custom Region",Vietnam,2015,75-79,1074845,404738,670107,1.1,0.9,1.4,60.4
